id	sample01	sample02	sample03	sample04	sample05	sample06	sample07	sample08	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96
TOB5_000000044	14	19	29	10	16	37	47	38	1	10	41	4	4	0	4	4	5	2	0	0	4	1	4	0	0	1	0	7	0	0	1	1	2	0	1	49	2	2	3	0	7	0	1	10	37	60	11	5	5	1	1	55	38	68	26	16	21	29	132	5	3	51	89	0	0	0	0	0	0	103	161	95	184	108	136	63	14	58	284	188	384	125	173	297	142	24	28	5	13	33	36	21	1	19	42	0
TOB5_000000046	23	3	36	5	11	12	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	15	180	69	1	0	0	7	3	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
TOB5_000000047	23	15	48	3	38	132	233	83	2	12	51	11	0	0	4	3	9	1	1	2	3	0	19	7	0	13	0	9	4	2	2	0	3	0	1	33	0	2	4	8	5	0	10	2	21	29	1	1	1	0	0	35	10	52	21	14	21	30	87	4	4	163	55	0	0	0	0	2	0	27	11	22	5	12	13	56	20	85	1	5	6	3	9	11	87	8	22	4	16	21	48	11	14	1	43	0
TOB5_000000048	18	8	2	1	1	2	4	4	0	0	247	46	0	0	0	0	0	17	1	1	3	0	0	0	0	1	11	47	4	1	3	22	17	29	38	78	1	18	3	0	37	0	0	0	1	1	0	0	0	0	0	1	0	0	25	3	247	227	384	51	49	52	104	29	10	65	70	27	0	1	3	1	1	0	0	1	2	1	3	2	2	0	1	2	1	0	0	1	2	0	4	0	0	3	0	0
TOB5_000000049	12	50	47	17	12	26	20	26	6	72	125	7	8	0	38	24	20	0	0	0	11	0	70	156	0	204	0	1	0	1	8	1	3	0	1	57	0	1	3	0	11	1	77	5	14	43	18	5	5	6	5	31	170	189	82	83	10	44	144	4	6	22	61	0	0	0	0	0	0	24	52	13	18	16	38	15	8	65	2	4	27	6	5	1	47	22	23	4	3	9	21	7	7	25	15	0
TOB5_000000050	58	25	108	15	41	81	94	53	4	107	106	12	17	0	46	32	40	6	0	0	7	0	29	2	0	6	0	15	1	3	3	2	4	0	3	97	1	3	8	0	23	0	0	20	72	86	59	35	4	2	17	92	27	104	85	65	54	59	231	9	12	58	92	0	1	0	0	1	65	64	178	80	162	138	153	74	38	88	14	11	109	23	18	18	66	102	86	21	30	59	98	42	12	47	47	0
TOB5_000000051	13	42	68	79	17	54	101	147	1	5	88	12	2	0	4	4	7	110	2	0	13	1	76	16	1	8	1	182	3	1	2	1	7	0	2	153	1	3	21	0	48	0	0	4	49	24	23	4	18	1	2	34	34	47	72	30	89	87	382	12	16	144	271	1	0	1	0	0	338	363	395	242	70	62	77	303	127	251	62	48	26	2	45	76	89	129	166	12	48	94	173	48	28	143	352	0
TOB5_000000052	17	5	5	1	0	0	1	2	14	39	4	4	3	0	27	3	4	0	0	0	0	5	91	2	0	19	0	0	0	1	3	0	1	0	1	1	0	1	1	0	1	5	16	0	2	0	6	4	0	0	0	3	71	82	119	96	2	3	3	1	1	25	2	0	0	0	0	0	0	0	9	8	1	1	1	3	3	3	2	1	24	3	20	25	21	18	6	5	5	3	16	3	4	12	0	0
TOB5_000000053	15	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	4	1	3	1	1	0	0	1	2	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
TOB5_000000054	25	12	65	20	10	8	9	9	0	0	3	2	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	1	0	0	4	0	1	2	0	0	0	0	3	12	13	0	0	0	0	0	47	1	3	2	1	5	7	11	1	1	10	3	0	0	0	0	0	34	35	239	52	34	15	18	57	24	43	1	3	2	0	2	3	4	45	85	17	8	113	72	98	20	73	27	0
TOB5_000000055	15	10	75	8	18	12	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	58	123	69	1	0	0	3	7	5	237	238	1	0	44	100	32	0	0	0	0	0	1	0	0	0	1	0
